Department,Number,Description,coAndPrerequisites
CSC,100,Elementary Computing,
CSC,101,Untangling the Web by Analyzing and Architecting Digital Solutions,
CSC,103,Introductory Programming and Software Development,Permission of the Department.
CSC,105,Computers and Information Processing,
CSC,106,The Practice of Computer Science,
CSC,110,Fundamentals of Programming I,Complete 1 of the followingComplete 1 of the followingFoundations of Math 12Mathematics 12Pre-Calculus 12Complete 1 of: MATH100 - Calculus I (1.5)MATH102 - Calculus for Students in the Social and Biological Sciences (1.5)MATH109 - Introduction to Calculus (1.5)MATH120 - Precalculus Mathematics (1.5)
CSC,111,Fundamentals of Programming with Engineering Applications,Complete 1 of the followingComplete 1 of the followingFoundations of Math 12Mathematics 12Pre-Calculus 12Complete 1 of: MATH100 - Calculus I (1.5)MATH109 - Introduction to Calculus (1.5)MATH120 - Precalculus Mathematics (1.5)
CSC,115,Fundamentals of Programming II,Complete 1 of: CSC110 - Fundamentals of Programming I (1.5)CSC111 - Fundamentals of Programming with Engineering Applications (1.5)
CSC,116,Fundamentals of Programming with Engineering Applications II,Complete 1 of: CSC110 - Fundamentals of Programming I (1.5)CSC111 - Fundamentals of Programming with Engineering Applications (1.5)
CSC,130,World Wide Web and Mobile Applications,
CSC,167,"Game Strategy, Interaction and Design",
CSC,205,2D Computer Graphics and Image Processing,Complete 1 of: MATH151 - Finite Mathematics (1.5)MATH211 - Matrix Algebra I (1.5)
CSC,225,Algorithms and Data Structures I,Complete all of the followingComplete 1 of: CSC115 - Fundamentals of Programming II (1.5)CSC116 - Fundamentals of Programming with Engineering Applications II (1.5)Complete all of: MATH122 - Logic and Foundations (1.5)
CSC,226,Algorithms and Data Structures II,Complete all of: CSC225 - Algorithms and Data Structures I (1.5)
CSC,230,Introduction to Computer Architecture,Complete 1 of: CSC115 - Fundamentals of Programming II (1.5)CSC116 - Fundamentals of Programming with Engineering Applications II (1.5)
