Department,Number,Description,coAndPrerequisites
MATH,100,Calculus I,Complete 1 of the followingEarn a minimum grade of C+ in each of the following: MATH120 - Precalculus Mathematics (1.5)Completed Pre-Calculus 12 or Principles of Mathematics 12  with a minimum grade of B (73%) or permission of the department.
MATH,101,Calculus II,Complete 1 of: MATH100 - Calculus I (1.5)MATH109 - Introduction to Calculus (1.5)or permission of the department.
MATH,102,Calculus for Students in the Social and Biological Sciences,Complete 1 of the followingEarn a minimum grade of C in each of the following: MATH120 - Precalculus Mathematics (1.5)Pre-Calculus 12Principles of Mathematics 12.
MATH,109,Introduction to Calculus,Complete 1 of the followingEarn a minimum grade of C+ in each of the following: MATH120 - Precalculus Mathematics (1.5)Completed Pre-Calculus 12 or Principles of Mathematics 12  with a minimum grade of B (73%) permission of the department.
MATH,110,Matrix Algebra for Engineers,Admission to BEng or BSENG program.
MATH,120,Precalculus Mathematics,Pre-Calculus 11 or Principles of Mathematics 11or permission of the department.
MATH,122,Logic and Foundations,Complete 1 of: MATH100 - Calculus I (1.5)MATH102 - Calculus for Students in the Social and Biological Sciences (1.5)MATH109 - Introduction to Calculus (1.5)MATH151 - Finite Mathematics (1.5)or permission of the department.
MATH,151,Finite Mathematics,"One of 1.5 units of MATH course numbered 100 or higher, Foundations of Mathematics 11, Foundations of Mathematics 12, Pre-Calculus 11, Pre-Calculus 12, Principles of Mathematics 11, Principles of Mathematics 12."
MATH,161,Mathematics for Elementary School Teachers I,"One of Foundations of Mathematics 11, Foundations of Mathematics 12, Pre-Calculus 11, Pre-Calculus 12, Principles of Mathematics 11, Principles of Mathematics 12."
MATH,162,Mathematics for Elementary School Teachers II,Complete all of: MATH161 - Mathematics for Elementary School Teachers I (1.5)or permission of the department.
MATH,200,Calculus III,Complete all of: MATH101 - Calculus II (1.5)
MATH,202,Intermediate Calculus for CSC and EOS,Complete all of: MATH101 - Calculus II (1.5)
MATH,204,Calculus IV,Complete 1 of: MATH200 - Calculus III (1.5)MATH205 - Multivariable Calculus (1.5)
MATH,208,Mathematics for Economics and Econometrics,Complete all of the followingComplete 1 of: MATH100 - Calculus I (1.5)MATH102 - Calculus for Students in the Social and Biological Sciences (1.5)MATH109 - Introduction to Calculus (1.5)Complete all of: ECON103 - Principles of Microeconomics (1.5)ECON104 - Principles of Macroeconomics (1.5)or permission of the department.
MATH,211,Matrix Algebra I,Complete 1 of the followingCompleted Principles of Mathematics 12 or Pre-Calculus 12  with a minimum grade of A (86%) Complete 1 of: MATH100 - Calculus I (1.5)MATH102 - Calculus for Students in the Social and Biological Sciences (1.5)MATH109 - Introduction to Calculus (1.5)MATH122 - Logic and Foundations (1.5)Earned a minimum grade of A in 1 of: MATH120 - Precalculus Mathematics (1.5)MATH151 - Finite Mathematics (1.5)permission of the department.
MATH,212,Introduction to Algebra,Complete all of: MATH122 - Logic and Foundations (1.5)
MATH,222,Discrete and Combinatorial Mathematics,Complete all of: MATH122 - Logic and Foundations (1.5)or permission of the department.
MATH,236,Introduction to Real Analysis,Complete all of: MATH101 - Calculus II (1.5)MATH122 - Logic and Foundations (1.5)or permission of the department.
MATH,242,Mathematics of Finance,Complete all of the followingComplete 1 of: MATH100 - Calculus I (1.5)MATH102 - Calculus for Students in the Social and Biological Sciences (1.5)MATH109 - Introduction to Calculus (1.5)Complete 1 of: MATH151 - Finite Mathematics (1.5)ECON245 - Descriptive Statistics and Probability (1.5)STAT260 - Introduction to Probability and Statistics I (1.5)
MATH,248,Computer Assisted Mathematics and Physics,Complete all of the followingComplete 1 of: MATH110 - Matrix Algebra for Engineers (1.5)MATH211 - Matrix Algebra I (1.5)Complete all of: MATH200 - Calculus III (1.5)Complete 1 of: CSC110 - Fundamentals of Programming I (1.5)CSC111 - Fundamentals of Programming with Engineering Applications (1.5)
MATH,301,Complex Variables,Complete all of the followingComplete all of: MATH200 - Calculus III (1.5)Complete 1 of: MATH204 - Calculus IV (1.5)MATH236 - Introduction to Real Analysis (1.5)MATH300 - Advanced Calculus (1.5)MATH335 - Real Analysis (1.5)MATH336 - Real Analysis I (1.5)
MATH,311,Linear Algebra,Complete all of the followingComplete 1 of: MATH110 - Matrix Algebra for Engineers (1.5)MATH211 - Matrix Algebra I (1.5)Complete 1 of: MATH212 - Introduction to Algebra (1.5)
MATH,312,Abstract Algebra I,Complete all of the followingComplete 1 of: MATH110 - Matrix Algebra for Engineers (1.5)MATH211 - Matrix Algebra I (1.5)Complete 1 of: MATH212 - Introduction to Algebra (1.5)or permission of the department.
MATH,315,History of Mathematics,Complete 1 of the followingCompleted or concurrently enrolled in all of: MATH312 - Abstract Algebra I (1.5)MATH362 - Elementary Number Theory (1.5)MATH366 - Geometry (1.5)or permission of the  department.
MATH,322,Combinatorial Designs,Complete 1 of the followingComplete all of: MATH122 - Logic and Foundations (1.5)MATH211 - Matrix Algebra I (1.5)Complete all of: MATH151 - Finite Mathematics (1.5)MATH211 - Matrix Algebra I (1.5)Complete all of: MATH222 - Discrete and Combinatorial Mathematics (1.5)or permission of the department.
MATH,335,Real Analysis,Complete all of the followingComplete 1 of the followingComplete all of: MATH122 - Logic and Foundations (1.5)MATH300 - Advanced Calculus (1.5)Complete all of: MATH236 - Introduction to Real Analysis (1.5)Complete all of: MATH200 - Calculus III (1.5)MATH211 - Matrix Algebra I (1.5)
MATH,342,Intermediate Ordinary Differential Equations,Complete all of the followingComplete 1 of: MATH110 - Matrix Algebra for Engineers (1.5)MATH211 - Matrix Algebra I (1.5)Complete 1 of the followingComplete all of: MATH200 - Calculus III (1.5)MATH201 - Introduction to Differential Equations (1.5)Complete all of: MATH204 - Calculus IV (1.5)or permission of the department.
MATH,346,Introduction to Partial Differential Equations,Complete all of the followingComplete 1 of: MATH110 - Matrix Algebra for Engineers (1.5)MATH211 - Matrix Algebra I (1.5)Complete 1 of the followingComplete all of: MATH200 - Calculus III (1.5)MATH201 - Introduction to Differential Equations (1.5)Complete all of: MATH204 - Calculus IV (1.5)
MATH,348,Numerical Methods,Complete all of the followingComplete 1 of: MATH110 - Matrix Algebra for Engineers (1.5)MATH211 - Matrix Algebra I (1.5)Complete 1 of the followingComplete all of: MATH200 - Calculus III (1.5)MATH201 - Introduction to Differential Equations (1.5)Complete all of: MATH200 - Calculus III (1.5)MATH204 - Calculus IV (1.5)Complete all of: MATH202 - Intermediate Calculus for CSC and EOS (1.5)
MATH,352,Introduction to Probability,Complete all of the followingComplete 1 of: MATH151 - Finite Mathematics (1.5)MATH222 - Discrete and Combinatorial Mathematics (1.5)Complete 1 of: MATH200 - Calculus III (1.5)MATH205 - Multivariable Calculus (1.5)
MATH,362,Elementary Number Theory,Complete all of the followingComplete all of: MATH122 - Logic and Foundations (1.5)3 units of 200-level MATH or STAT courses.
MATH,365,Introduction to Topology,Complete all of the followingComplete all of: MATH212 - Introduction to Algebra (1.5)Complete 1 of: MATH236 - Introduction to Real Analysis (1.5)MATH335 - Real Analysis (1.5)MATH336 - Real Analysis I (1.5)
MATH,366,Geometry,Complete 1 of the following6 units of MATH coursespermission of the  department
MATH,367,Non-Euclidean Geometry,Completed or concurrently enrolled in all of: MATH301 - Complex Variables (1.5)
MATH,369,Differential Geometry in R3,Complete all of: MATH204 - Calculus IV (1.5)MATH211 - Matrix Algebra I (1.5)
MATH,375,Philosophy of Mathematics,Complete 1 of: MATH122 - Logic and Foundations (1.5)MATH360 - Mathematics for Education and Liberal Arts (1.5)PHIL203 - Elementary Formal Logic (1.5)PHIL304A - Theoretical Logic: I (1.5)PHIL370 - Theoretical Logic (1.5)
MATH,377,Mathematical Modelling,Complete all of the followingComplete 1 of: MATH110 - Matrix Algebra for Engineers (1.5)MATH211 - Matrix Algebra I (1.5)Complete 1 of: MATH200 - Calculus III (1.5)MATH205 - Multivariable Calculus (1.5)Complete 1 of: MATH201 - Introduction to Differential Equations (1.5)MATH204 - Calculus IV (1.5)Complete 1 of: STAT252 - Statistics for Business (1.5)STAT254 - Probability and Statistics for Engineers (1.5)STAT255 - Statistics for Life Sciences I (1.5)STAT260 - Introduction to Probability and Statistics I (1.5)
MATH,379,Nonlinear Dynamical Systems and Chaos,Complete all of the followingComplete 1 of the followingEarned a minimum grade of B in 1 of: MATH110 - Matrix Algebra for Engineers (1.5)MATH211 - Matrix Algebra I (1.5)Complete all of: MATH110 - Matrix Algebra for Engineers (1.5)MATH236 - Introduction to Real Analysis (1.5)Complete all of: MATH211 - Matrix Algebra I (1.5)MATH236 - Introduction to Real Analysis (1.5)Complete all of: MATH110 - Matrix Algebra for Engineers (1.5)MATH300 - Advanced Calculus (1.5)Complete all of: MATH211 - Matrix Algebra I (1.5)MATH300 - Advanced Calculus (1.5)Complete 1 of: MATH200 - Calculus III (1.5)MATH205 - Multivariable Calculus (1.5)Complete 1 of: MATH201 - Introduction to Differential Equations (1.5)MATH204 - Calculus IV (1.5)
MATH,401,Complex Analysis,Complete 1 of: MATH335 - Real Analysis (1.5)MATH336 - Real Analysis I (1.5)
MATH,412,Abstract Algebra II,Complete all of: MATH311 - Linear Algebra (1.5)MATH312 - Abstract Algebra I (1.5)
MATH,413,Applied Algebra,Complete 1 of: MATH212 - Introduction to Algebra (1.5)
MATH,422,Combinatorial Mathematics,Complete all of the followingComplete all of: MATH212 - Introduction to Algebra (1.5)MATH222 - Discrete and Combinatorial Mathematics (1.5)1.5 units of 300 or 400 level MATH courseor permission of department.
MATH,423,Graph Theory,Complete all of the followingComplete all of: MATH222 - Discrete and Combinatorial Mathematics (1.5)1.5 units of 300- or 400-level MATH courseor permission of the department.
MATH,435,Real Analysis II,Complete 1 of: MATH335 - Real Analysis (1.5)MATH336 - Real Analysis I (1.5)or permission of the department.
MATH,436,Calculus on Manifolds,Complete all of the followingComplete all of: MATH211 - Matrix Algebra I (1.5)MATH212 - Introduction to Algebra (1.5)Complete 1 of the followingComplete all of: MATH204 - Calculus IV (1.5)MATH236 - Introduction to Real Analysis (1.5)Complete all of: MATH236 - Introduction to Real Analysis (1.5)MATH300 - Advanced Calculus (1.5)Complete all of: MATH335 - Real Analysis (1.5)Complete all of: MATH336 - Real Analysis I (1.5)
MATH,442,Advanced Ordinary Differential Equations,Complete 1 of the followingComplete all of the followingComplete 1 of: MATH300 - Advanced Calculus (1.5)MATH335 - Real Analysis (1.5)Complete 1 of: MATH342 - Intermediate Ordinary Differential Equations (1.5)MATH379 - Nonlinear Dynamical Systems and Chaos (1.5)permission of the  department.
MATH,446,Advanced Partial Differential Equations,Complete all of the followingComplete 1 of: MATH335 - Real Analysis (1.5)MATH336 - Real Analysis I (1.5)Complete 1 of: MATH342 - Intermediate Ordinary Differential Equations (1.5)MATH379 - Nonlinear Dynamical Systems and Chaos (1.5)or permission of the department
MATH,447,Nonlinear Programming,Complete all of the followingComplete 1 of: MATH110 - Matrix Algebra for Engineers (1.5)MATH211 - Matrix Algebra I (1.5)Complete 1 of: MATH204 - Calculus IV (1.5)MATH236 - Introduction to Real Analysis (1.5)MATH300 - Advanced Calculus (1.5)MATH335 - Real Analysis (1.5)
MATH,449,Scientific Computing,Complete 1 of: MATH348 - Numerical Methods (1.5)CSC349A - Numerical Analysis (1.5)or permission of the department.
MATH,451,Probability,Complete all of the followingComplete 1 of: MATH204 - Calculus IV (1.5)MATH236 - Introduction to Real Analysis (1.5)MATH300 - Advanced Calculus (1.5)Complete 1 of: MATH352 - Introduction to Probability (1.5)STAT350 - Mathematical Statistics I (1.5)
MATH,452,Stochastic Processes,Complete 1 of: MATH352 - Introduction to Probability (1.5)STAT350 - Mathematical Statistics I (1.5)
MATH,462,Topics in Number Theory,Complete all of: MATH362 - Elementary Number Theory (1.5)
MATH,465,Topics in Topology,Complete all of the followingComplete all of: MATH365 - Introduction to Topology (1.5)permission of the department.
MATH,475,Topics in Mathematical Biology,"Complete all of the followingMinimum third-year standingdeclared Honours or Major in Mathematics, Statistics, or Biologypermission of the department."
MATH,477,Stochastic Financial Modelling,Complete all of: MATH452 - Stochastic Processes (1.5)
MATH,490,Directed Studies in Mathematics,Permission of the department.
MATH,492,Topics in Applied Mathematics,Complete all of the followingMinimum third-year standingadditional prerequisites set by department depending upon topic.
MATH,493,Topics in Pure Mathematics,Complete all of the followingMinimum third-year standingadditional prerequisites set by department depending upon topic.
MATH,498,Seminar and Independent Project,Permission of the department.
