Department,Number,Description,coAndPrerequisites
MECH,150,"3D Printing, Rapid Prototyping and Design",Completed or concurrently enrolled in 1 of: MATH100 - Calculus I (1.5)MATH102 - Calculus for Students in the Social and Biological Sciences (1.5)MATH109 - Introduction to Calculus (1.5)MATH120 - Precalculus Mathematics (1.5)
MECH,200,Engineering Drawing,Complete all of the followingComplete 1 of: CSC110 - Fundamentals of Programming I (1.5)CSC111 - Fundamentals of Programming with Engineering Applications (1.5)CSC116 - Fundamentals of Programming with Engineering Applications II (1.5)Complete 1 of: MATH110 - Matrix Algebra for Engineers (1.5)MATH211 - Matrix Algebra I (1.5)
MECH,220,Mechanics of Solids I,Complete all of: ENGR141 - Engineering Mechanics (1.5)MATH200 - Calculus III (1.5)
MECH,240,Thermodynamics,Complete all of: MATH101 - Calculus II (1.5)
MECH,242,Dynamics,Complete all of the followingComplete all of: ENGR141 - Engineering Mechanics (1.5)MATH101 - Calculus II (1.5)Complete 1 of: CSC110 - Fundamentals of Programming I (1.5)CSC111 - Fundamentals of Programming with Engineering Applications (1.5)Complete 1 of: MATH110 - Matrix Algebra for Engineers (1.5)MATH211 - Matrix Algebra I (1.5)Complete 1 of: PHYS110 - Introductory Physics I (1.5)PHYS120 - Physics I (1.5)PHYS122 - Mechanics for Engineers (1.5)Completed or concurrently enrolled in all of: MATH200 - Calculus III (1.5)
MECH,285,Properties of Engineering Materials,Complete 1 of: CHEM101 - Fundamentals of Chemistry from Atoms to Materials (1.5)CHEM102 - Chemical Reactivity Fundamentals with Environmental Applications (1.5)CHEM150 - Engineering Chemistry (1.5)
MECH,295,Engineering Fundamentals,Complete all of: MATH101 - Calculus II (1.5)
MECH,320,Mechanics of Solids II,Complete all of: MECH220 - Mechanics of Solids I (1.5)
MECH,330,Introduction to Mechanical Vibrations,Complete all of the followingComplete all of: MECH220 - Mechanics of Solids I (1.5)MECH242 - Dynamics (1.5)Complete 1 of: MATH110 - Matrix Algebra for Engineers (1.5)MATH211 - Matrix Algebra I (1.5)Complete 1 of: MATH201 - Introduction to Differential Equations (1.5)MATH204 - Calculus IV (1.5)
MECH,335,Theory of Mechanisms,Complete all of: MECH242 - Dynamics (1.5)
