Department,Number,Description,coAndPrerequisites
BIOL,150A,Modern Biology,
BIOL,150B,Modern Biology,
BIOL,184,Evolution and Biodiversity,Complete 1 of the followingComplete 1 of: BIOL150A - Modern Biology (1.5)BIOL150B - Modern Biology (1.5)BIOL186 - Physiology and Cell Biology (1.5)Biology 11Biology 12or permission of the department.
BIOL,186,Physiology and Cell Biology,Complete 1 of the followingComplete 1 of: BIOL150A - Modern Biology (1.5)BIOL150B - Modern Biology (1.5)BIOL184 - Evolution and Biodiversity (1.5)Biology 11Biology 12or permission of the department.
BIOL,215,Principles of Ecology,Complete all of the followingComplete 1 of: BIOL184 - Evolution and Biodiversity (1.5)BIOL190B - General Biology II (1.5)Complete 1 of: BIOL186 - Physiology and Cell Biology (1.5)BIOL190A - General Biology I (1.5)or permission of the department.
BIOL,225,Principles of Cell Biology,Complete 1 of: BIOL186 - Physiology and Cell Biology (1.5)BIOL190A - General Biology I (1.5) or permission of the department.
BIOL,230,Principles of Genetics,Complete all of: BIOL225 - Principles of Cell Biology (1.5)
BIOL,248,Topics in Organismal Biology,Complete all of the followingEarned a minimum grade of C+ in 1 of: BIOL186 - Physiology and Cell Biology (1.5)BIOL190A - General Biology I (1.5)Complete 1 of: BIOL184 - Evolution and Biodiversity (1.5)BIOL190B - General Biology II (1.5)MICR200A - Introductory Microbiology I (1.5)
BIOL,307,Chordate Zoology,Complete all of the followingComplete 1 of: BIOL184 - Evolution and Biodiversity (1.5)BIOL190B - General Biology II (1.5)Complete 1 of: BIOL186 - Physiology and Cell Biology (1.5)BIOL190A - General Biology I (1.5)
BIOL,309,Developmental Biology,Complete 1 of the followingComplete all of: BIOL225 - Principles of Cell Biology (1.5)BIOC299 - Biochemistry for Non-Majors (1.5)Complete all of: BIOL230 - Principles of Genetics (1.5)Complete all of: BIOC300B - General Biochemistry II (1.5)
BIOL,311,Biological Oceanography,Complete all of the followingComplete 1 of: CHEM101 - Fundamentals of Chemistry from Atoms to Materials (1.5)CHEM150 - Engineering Chemistry (1.5)Complete all of: CHEM102 - Chemical Reactivity Fundamentals with Environmental Applications (1.5)Complete 2 of: MATH100 - Calculus I (1.5)MATH101 - Calculus II (1.5)MATH102 - Calculus for Students in the Social and Biological Sciences (1.5)MATH109 - Introduction to Calculus (1.5)MATH151 - Finite Mathematics (1.5)Complete 1 of the followingComplete all of: PHYS102 - General Physics (3.0)Complete all of: PHYS102A - General Physics I (1.5)PHYS102B - General Physics II (1.5)Complete all of: PHYS110 - Introductory Physics I (1.5)PHYS111 - Introductory Physics II (1.5)Complete all of: PHYS120 - Physics I (1.5)PHYS130 - Physics II (1.5)minimum third-year standing.
