Department,Number,Description,coAndPrerequisites
ECE,216,Electricity and Magnetism,Complete all of the followingComplete all of: MATH200 - Calculus III (1.5)Complete 1 of the followingComplete all of: PHYS112 - Basic Physics (3.0)Complete all of the followingComplete 1 of: PHYS110 - Introductory Physics I (1.5)PHYS120 - Physics I (1.5)PHYS122 - Mechanics for Engineers (1.5)Complete 1 of: PHYS111 - Introductory Physics II (1.5)PHYS125 - Fundamentals of Physics (1.5)PHYS130 - Physics II (1.5)
ECE,220,Electrical Properties of Materials,Complete all of the followingComplete 1 of: CHEM101 - Fundamentals of Chemistry from Atoms to Materials (1.5)CHEM150 - Engineering Chemistry (1.5)Complete all of: MATH200 - Calculus III (1.5)Complete 1 of: PHYS111 - Introductory Physics II (1.5)PHYS112 - Basic Physics (3.0)PHYS125 - Fundamentals of Physics (1.5)
ECE,241,Digital Design,Minimum second-year standing.
ECE,242,Discrete Structures in Engineering,Complete all of: MATH101 - Calculus II (1.5)MATH110 - Matrix Algebra for Engineers (1.5)
ECE,250,Linear Circuits I,Complete all of the followingComplete all of: MATH101 - Calculus II (1.5)Complete 1 of: PHYS111 - Introductory Physics II (1.5)PHYS125 - Fundamentals of Physics (1.5)PHYS130 - Physics II (1.5)
ECE,255,Introduction to Computer Architecture,Complete all of: CSC111 - Fundamentals of Programming with Engineering Applications (1.5)
ECE,260,Continuous-Time Signals and Systems,Complete all of the followingComplete all of: MATH101 - Calculus II (1.5)Complete 1 of the followingComplete all of: MATH110 - Matrix Algebra for Engineers (1.5)Completed or concurrently enrolled in all of: MATH211 - Matrix Algebra I (1.5)
ECE,299,Introduction to Electrical and Computer Engineering Design,Complete all of the followingCompleted or concurrently enrolled in 1 of: ECE241 - Digital Design (1.5)CENG241 - Digital Design (1.5)Completed or concurrently enrolled in 1 of: ECE250 - Linear Circuits I (1.5)ELEC250 - Linear Circuits I (1.5)Completed or concurrently enrolled in 1 of: ENGR120 - Design and Communication II (2.5)ENGR121 - Design II (1.0)
ECE,300,Linear Circuits II,Complete all of the followingComplete 1 of: ECE250 - Linear Circuits I (1.5)ELEC250 - Linear Circuits I (1.5)Complete 1 of: ECE260 - Continuous-Time Signals and Systems (1.5)ELEC260 - Continuous-Time Signals and Systems (1.5)
ECE,310,Digital Signal Processing I,Complete 1 of: ECE260 - Continuous-Time Signals and Systems (1.5)ELEC260 - Continuous-Time Signals and Systems (1.5)
