Department,Number,Description,coAndPrerequisites
ECON,100,The Canadian Economy - Problems and Policies,
ECON,103,Principles of Microeconomics,
ECON,104,Principles of Macroeconomics,
ECON,111,The Economy and the Environment,
ECON,112,"Strategy, Conflict and Co-operation",
ECON,113,Introduction to Economics for Policy Analysis,
ECON,180,Introduction to Principles of Microeconomics and Financial Project Evaluation,Complete all of the followingComplete all of: MATH101 - Calculus II (1.5)admission to BEng or BSEng program.
ECON,185,Introductory Topics in Economics,
ECON,203,Intermediate Microeconomics I,Complete all of the followingComplete 1 of: ECON103 - Principles of Microeconomics (1.5)ECON103C - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)ECON180 - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)Complete 1 of: MATH100 - Calculus I (1.5)MATH102 - Calculus for Students in the Social and Biological Sciences (1.5)MATH109 - Introduction to Calculus (1.5)
ECON,204,Intermediate Macroeconomics,Complete all of the followingComplete 1 of: ECON103 - Principles of Microeconomics (1.5)ECON103C - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)ECON180 - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)Complete all of: ECON104 - Principles of Macroeconomics (1.5)Complete 1 of: MATH100 - Calculus I (1.5)MATH102 - Calculus for Students in the Social and Biological Sciences (1.5)MATH109 - Introduction to Calculus (1.5)
ECON,205,Managerial Economics,Complete 1 of: ECON103 - Principles of Microeconomics (1.5)ECON103C - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)ECON180 - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)
ECON,225,Writing for Economists,"Complete all of the followingComplete 1 of: ECON103 - Principles of Microeconomics (1.5)ECON103C - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)ECON180 - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)Complete all of: ECON104 - Principles of Macroeconomics (1.5)Academic Writing Requirement satisfieddeclared Honours, Major, General, or Minor in Economics."
ECON,245,Descriptive Statistics and Probability,Complete 1 of: MATH100 - Calculus I (1.5)MATH102 - Calculus for Students in the Social and Biological Sciences (1.5)MATH109 - Introduction to Calculus (1.5)
ECON,246,Statistical Inference,Complete all of the followingComplete 1 of: ECON245 - Descriptive Statistics and Probability (1.5)STAT260 - Introduction to Probability and Statistics I (1.5)Complete 1 of: MATH100 - Calculus I (1.5)MATH102 - Calculus for Students in the Social and Biological Sciences (1.5)MATH109 - Introduction to Calculus (1.5)
ECON,305,Money and Banking,Complete all of the followingComplete 1 of: ECON103 - Principles of Microeconomics (1.5)ECON103C - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)ECON180 - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)Complete all of: ECON104 - Principles of Macroeconomics (1.5)Academic Writing Requirement satisfied.
ECON,306,International Economics,Complete all of the followingComplete 1 of: ECON103 - Principles of Microeconomics (1.5)ECON103C - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)ECON180 - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)Complete all of: ECON104 - Principles of Macroeconomics (1.5)Complete 1 of the followingComplete 1 of: ECON225 - Writing for Economists (1.5)ENGR240 - Technical Writing (1.5)Earned a minimum grade of B+ in 1 of: ENGL135 - Academic Reading and Writing (1.5)ENGL146 - Contemporary Literature (AWR) (1.5)ENGL147 - Literary Traditions (AWR) (1.5)
ECON,308,Economics and the Law,Complete all of the followingComplete 1 of: ECON103 - Principles of Microeconomics (1.5)ECON103C - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)ECON180 - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)Complete all of: ECON104 - Principles of Macroeconomics (1.5)Academic Writing Requirement satisfied.
ECON,309,Competition Policy,Complete all of the followingComplete 1 of: ECON103 - Principles of Microeconomics (1.5)ECON103C - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)ECON180 - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)Academic Writing Requirement satisfied.
ECON,312,Urban Land Economics,Complete 1 of: ECON103 - Principles of Microeconomics (1.5)ECON103C - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)ECON180 - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)
ECON,313,Intermediate Microeconomics II,Complete all of the followingEarn a minimum grade of C in each of the following: ECON203 - Intermediate Microeconomics I (1.5)Complete 1 of the followingComplete 1 of: ECON225 - Writing for Economists (1.5)ENGR240 - Technical Writing (1.5)Earned a minimum grade of B+ in 1 of: ENGL135 - Academic Reading and Writing (1.5)ENGL146 - Contemporary Literature (AWR) (1.5)ENGL147 - Literary Traditions (AWR) (1.5)Complete 1 of: MATH100 - Calculus I (1.5)MATH102 - Calculus for Students in the Social and Biological Sciences (1.5)MATH109 - Introduction to Calculus (1.5)
ECON,317,The Economics of Canadian Health Care,Complete 1 of: ECON103 - Principles of Microeconomics (1.5)ECON103C - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)ECON180 - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)
ECON,318,Health Economics,Complete 1 of: ECON103 - Principles of Microeconomics (1.5)ECON103C - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)ECON180 - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)
ECON,320,Economic Development,Complete all of the followingComplete 1 of: ECON103 - Principles of Microeconomics (1.5)ECON103C - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)ECON180 - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)Complete all of: ECON104 - Principles of Macroeconomics (1.5)Complete 1 of the followingComplete 1 of: ECON225 - Writing for Economists (1.5)ENGR240 - Technical Writing (1.5)Earned a minimum grade of B+ in 1 of: ENGL135 - Academic Reading and Writing (1.5)ENGL146 - Contemporary Literature (AWR) (1.5)ENGL147 - Literary Traditions (AWR) (1.5)
ECON,321,The Economic History of Canada,Complete all of the followingComplete 1 of: ECON103 - Principles of Microeconomics (1.5)ECON103C - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)ECON180 - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)Complete all of: ECON104 - Principles of Macroeconomics (1.5)Complete 1 of the followingComplete 1 of: ECON225 - Writing for Economists (1.5)ENGR240 - Technical Writing (1.5)Earned a minimum grade of B+ in 1 of: ENGL135 - Academic Reading and Writing (1.5)ENGL146 - Contemporary Literature (AWR) (1.5)ENGL147 - Literary Traditions (AWR) (1.5)
ECON,325,Public Economics,Complete 1 of: ECON103 - Principles of Microeconomics (1.5)ECON103C - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)ECON180 - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)
ECON,327,Economic History of North America,Complete all of the followingComplete 1 of: ECON103 - Principles of Microeconomics (1.5)ECON103C - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)ECON180 - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)Complete all of: ECON104 - Principles of Macroeconomics (1.5)Complete 1 of the followingComplete 1 of: ECON225 - Writing for Economists (1.5)ENGR240 - Technical Writing (1.5)Earned a minimum grade of B+ in 1 of: ENGL135 - Academic Reading and Writing (1.5)ENGL146 - Contemporary Literature (AWR) (1.5)ENGL147 - Literary Traditions (AWR) (1.5)
ECON,328,Economic History of the Pacific Rim,Complete all of the followingComplete 1 of: ECON100 - The Canadian Economy - Problems and Policies (1.5)ECON104 - Principles of Macroeconomics (1.5)Complete 1 of the followingComplete 1 of: ECON225 - Writing for Economists (1.5)ENGR240 - Technical Writing (1.5)Earned a minimum grade of B+ in 1 of: ENGL135 - Academic Reading and Writing (1.5)ENGL146 - Contemporary Literature (AWR) (1.5)ENGL147 - Literary Traditions (AWR) (1.5)or permission of the department.
ECON,329,Development and Economics,Minimum second-year standing.
ECON,333,Introduction to Economic Growth,Complete all of the followingComplete all of: ECON204 - Intermediate Macroeconomics (1.5)Complete 1 of: ECON246 - Statistical Inference (1.5)STAT261 - Introduction to Probability and Statistics II (1.5)
ECON,337,History of Economic Thought to 1870,Complete all of the followingComplete 1 of: ECON103 - Principles of Microeconomics (1.5)ECON103C - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)ECON180 - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)Complete all of: ECON104 - Principles of Macroeconomics (1.5)Complete 1 of the followingComplete 1 of: ECON225 - Writing for Economists (1.5)ENGR240 - Technical Writing (1.5)Earned a minimum grade of B+ in 1 of: ENGL135 - Academic Reading and Writing (1.5)ENGL146 - Contemporary Literature (AWR) (1.5)ENGL147 - Literary Traditions (AWR) (1.5)
ECON,338,History of Economic Thought Since 1870,Complete all of the followingComplete 1 of: ECON103 - Principles of Microeconomics (1.5)ECON103C - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)ECON180 - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)Complete all of: ECON104 - Principles of Macroeconomics (1.5)Complete 1 of the followingComplete 1 of: ECON225 - Writing for Economists (1.5)ENGR240 - Technical Writing (1.5)Earned a minimum grade of B+ in 1 of: ENGL135 - Academic Reading and Writing (1.5)ENGL146 - Contemporary Literature (AWR) (1.5)ENGL147 - Literary Traditions (AWR) (1.5)
ECON,339,Economics of the Family,Complete all of the followingComplete 1 of: ECON103 - Principles of Microeconomics (1.5)ECON103C - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)ECON180 - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)Complete all of: ECON104 - Principles of Macroeconomics (1.5)Academic Writing Requirement satisfiedor permission of the department.
ECON,345,Applied Econometrics,Complete all of the followingComplete 1 of: ECON103 - Principles of Microeconomics (1.5)ECON103C - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)ECON180 - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)Complete all of: ECON104 - Principles of Macroeconomics (1.5)Earned a minimum grade of C+ in 1 of: ECON245 - Descriptive Statistics and Probability (1.5)STAT260 - Introduction to Probability and Statistics I (1.5)Complete 1 of: ECON246 - Statistical Inference (1.5)STAT261 - Introduction to Probability and Statistics II (1.5)Complete 1 of the followingComplete 1 of: ECON225 - Writing for Economists (1.5)ENGR240 - Technical Writing (1.5)Earned a minimum grade of B+ in 1 of: ENGL135 - Academic Reading and Writing (1.5)ENGL146 - Contemporary Literature (AWR) (1.5)ENGL147 - Literary Traditions (AWR) (1.5)Complete 1 of: MATH100 - Calculus I (1.5)MATH102 - Calculus for Students in the Social and Biological Sciences (1.5)MATH109 - Introduction to Calculus (1.5)
ECON,350,Mathematical Economics I: An Introduction to Static Methods,Complete 1 of the followingEarn a minimum grade of B in each of the following: MATH208 - Mathematics for Economics and Econometrics (1.5)Complete all of the followingComplete all of: MATH101 - Calculus II (1.5)Complete 1 of: MATH110 - Matrix Algebra for Engineers (1.5)MATH211 - Matrix Algebra I (1.5)Complete all of: MATH200 - Calculus III (1.5)
ECON,351,Mathematical Economics II: An Introduction to Dynamic Methods,Complete all of: ECON350 - Mathematical Economics I: An Introduction to Static Methods (1.5)
ECON,358,Competition Economics I,Complete 1 of: ECON103 - Principles of Microeconomics (1.5)ECON103C - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)ECON180 - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)
ECON,365,Econometrics: Part I,Complete all of the followingComplete 1 of: ECON103 - Principles of Microeconomics (1.5)ECON103C - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)ECON180 - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)Complete all of: ECON104 - Principles of Macroeconomics (1.5)Complete 1 of: ECON245 - Descriptive Statistics and Probability (1.5)STAT260 - Introduction to Probability and Statistics I (1.5)Complete 1 of: ECON246 - Statistical Inference (1.5)STAT261 - Introduction to Probability and Statistics II (1.5)Complete 1 of the followingEarn a minimum grade of B in each of the following: MATH208 - Mathematics for Economics and Econometrics (1.5)Complete all of: MATH101 - Calculus II (1.5)MATH110 - Matrix Algebra for Engineers (1.5)Complete all of: MATH101 - Calculus II (1.5)MATH211 - Matrix Algebra I (1.5)
ECON,366,Econometrics: Part II,Complete all of: ECON365 - Econometrics: Part I (1.5)
ECON,370,Labour Economics I,Complete all of: ECON203 - Intermediate Microeconomics I (1.5)
ECON,381,Environmental Economics I,Complete 1 of: ECON103 - Principles of Microeconomics (1.5)ECON103C - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)ECON180 - Introduction to Principles of Microeconomics and Financial Project Evaluation (1.5)
ECON,382,Natural Resource Economics I,Complete all of: ECON203 - Intermediate Microeconomics I (1.5)
ECON,383,Climate Economics,Minimum second-year standing.
ECON,400,Advanced Topics in Microeconomic Theory,Complete all of the followingComplete all of: ECON313 - Intermediate Microeconomics II (1.5)ECON350 - Mathematical Economics I: An Introduction to Static Methods (1.5)declared Honours in Economics (BSc)or permission of the department.
ECON,401,Advanced Topics in Macroeconomic Theory,Complete all of the followingComplete all of: ECON204 - Intermediate Macroeconomics (1.5)ECON313 - Intermediate Microeconomics II (1.5)ECON350 - Mathematical Economics I: An Introduction to Static Methods (1.5)ECON351 - Mathematical Economics II: An Introduction to Dynamic Methods (1.5)declared Honours in Economics (BSc)or permission of the department.
ECON,403,Agricultural Economics and Policy,Complete 1 of the followingCompleted or concurrently enrolled in all of: ECON313 - Intermediate Microeconomics II (1.5) or permission of the department.
ECON,405A,International Trade Theory,Complete all of the followingComplete all of: ECON203 - Intermediate Microeconomics I (1.5)ECON350 - Mathematical Economics I: An Introduction to Static Methods (1.5)Complete 1 of the followingComplete 1 of: ECON225 - Writing for Economists (1.5)ENGR240 - Technical Writing (1.5)Earned a minimum grade of B+ in 1 of: ENGL135 - Academic Reading and Writing (1.5)ENGL146 - Contemporary Literature (AWR) (1.5)ENGL147 - Literary Traditions (AWR) (1.5)
ECON,405B,International Monetary Theory and Policy,Complete all of the followingComplete all of: ECON203 - Intermediate Microeconomics I (1.5)ECON204 - Intermediate Macroeconomics (1.5)Complete 1 of: ECON345 - Applied Econometrics (1.5)ECON365 - Econometrics: Part I (1.5)Complete 1 of the followingComplete 1 of: ECON225 - Writing for Economists (1.5)ENGR240 - Technical Writing (1.5)Earned a minimum grade of B+ in 1 of: ENGL135 - Academic Reading and Writing (1.5)ENGL146 - Contemporary Literature (AWR) (1.5)ENGL147 - Literary Traditions (AWR) (1.5)
