Department,Number,Description,coAndPrerequisites
ENGR,001,Work Term 1,Complete all of the followingComplete all of: ENGR110 - Design and Communication I (2.5)ENGR130 - Introduction to Professional Practice (0.5)MATH100 - Calculus I (1.5)Complete 2 of: CSC111 - Fundamentals of Programming with Engineering Applications (1.5)MATH110 - Matrix Algebra for Engineers (1.5)PHYS110 - Introductory Physics I (1.5)permission of the faculty
ENGR,002,Work Term 2,Complete all of the followingComplete all of: ENGR001 - Work Term 1 (4.5)ENGR130 - Introduction to Professional Practice (0.5)Complete 1 of: ENGR120 - Design and Communication II (2.5)ENGR240 - Technical Writing (1.5)Academic Writing Requirement satisfiedpermission of the faculty.
ENGR,003,Work Term 3,Complete all of the followingComplete all of: ENGR002 - Work Term 2 (4.5)ENGR130 - Introduction to Professional Practice (0.5)Complete 1 of: ENGR120 - Design and Communication II (2.5)ENGR240 - Technical Writing (1.5)Complete 1 of: BME200 - Molecular and Cellular Physiology for Engineers (1.5)CIVE299 - Geomatics Engineering (1.5)ECE250 - Linear Circuits I (1.5)ELEC250 - Linear Circuits I (1.5)MECH200 - Engineering Drawing (1.5)SENG265 - Software Development Methods (1.5)Academic Writing Requirement satisfiedpermission of the faculty.
ENGR,004,Work Term 4,Complete all of the followingComplete all of: ENGR003 - Work Term 3 (4.5)Complete 1 of: BME201 - Quantitative Human Physiology (1.5)CENG299 - Introduction to Electrical and Computer Engineering Design (1.5)CIVE285 - Civil Engineering Materials (1.5)ECE299 - Introduction to Electrical and Computer Engineering Design (1.5)ELEC299 - Introduction to Electrical and Computer Engineering Design (1.5)MECH285 - Properties of Engineering Materials (1.5)SENG275 - Software Testing (1.5)SENG299 - Software Architecture and Design (1.5)permission of the faculty.
ENGR,110,Design and Communication I,
ENGR,112,Design I,Complete all of: ENGL135 - Academic Reading and Writing (1.5)
ENGR,120,Design and Communication II,Complete all of the followingComplete 1 of the followingComplete 1 of: ENGR110 - Design and Communication I (2.5)ENGR111 - Design and Communication IB (2.5)Complete all of: ENGR112 - Design I (1.0)ENGL135 - Academic Reading and Writing (1.5)Complete all of: ELEC199 - Laboratory in Engineering Fundamentals (1.0)ENGL135 - Academic Reading and Writing (1.5)Complete 1 of the followingComplete all of: CSC110 - Fundamentals of Programming I (1.5)Completed or concurrently enrolled in all of: CSC111 - Fundamentals of Programming with Engineering Applications (1.5)
ENGR,121,Design II,Complete all of the followingComplete 1 of the followingComplete 1 of: ENGR110 - Design and Communication I (2.5)ENGR111 - Design and Communication IB (2.5)Complete all of: ENGR112 - Design I (1.0)ENGL135 - Academic Reading and Writing (1.5)Complete all of: ELEC199 - Laboratory in Engineering Fundamentals (1.0)ENGL135 - Academic Reading and Writing (1.5)Complete 1 of: ENGR240 - Technical Writing (1.5)ENGL225 - Technical Communications: Written and Verbal (1.5)Complete 1 of the followingComplete all of: CSC110 - Fundamentals of Programming I (1.5)Completed or concurrently enrolled in all of: CSC111 - Fundamentals of Programming with Engineering Applications (1.5)
ENGR,130,Introduction to Professional Practice,
ENGR,141,Engineering Mechanics,Complete all of the followingComplete 1 of: MATH100 - Calculus I (1.5)MATH109 - Introduction to Calculus (1.5)Completed or concurrently enrolled in 1 of: MATH110 - Matrix Algebra for Engineers (1.5)MATH211 - Matrix Algebra I (1.5)
ENGR,240,Technical Writing,Complete 1 of: ENGR110 - Design and Communication I (2.5)ENGR111 - Design and Communication IB (2.5)ENGL135 - Academic Reading and Writing (1.5)ENGL146 - Contemporary Literature (AWR) (1.5)ENGL147 - Literary Traditions (AWR) (1.5)
ENGR,297,Technology and Society,Completed or concurrently enrolled in 1 of: ENGR120 - Design and Communication II (2.5)ENGR240 - Technical Writing (1.5)ENGL225 - Technical Communications: Written and Verbal (1.5)
ENGR,330,Professional Career Planning and Engineering Leadership,Complete all of: ENGR003 - Work Term 3 (4.5)
ENGR,446,Technical Report,"Complete all of the followingComplete all of: ENGR002 - Work Term 2 (4.5)6 units of 400-level BME, CENG, CIVE, CSC, ELEC, ECE,  ENGR, MECH, or SENG courses.declaration in a BEng Program. "
ENGR,498,Engineering Law,Complete all of the followingComplete all of: ENGR003 - Work Term 3 (4.5)Declaration in a BEng Program.
