Department,Number,Description,coAndPrerequisites
PSYC,100A,Introductory Psychology I,
PSYC,100B,Introductory Psychology II,
PSYC,191,Psychology in Contemporary Society,
PSYC,192,Introduction to Positive Psychology,
PSYC,201,Research Methods in Psychology,Complete all of: PSYC100A - Introductory Psychology I (1.5)PSYC100B - Introductory Psychology II (1.5)
PSYC,205,Psychology of Diversity,Complete all of: PSYC100A - Introductory Psychology I (1.5)PSYC100B - Introductory Psychology II (1.5)
PSYC,210,Conceptual Foundations of Psychology,Completed or concurrently enrolled in all of: PSYC100A - Introductory Psychology I (1.5)PSYC100B - Introductory Psychology II (1.5)
PSYC,231,Introduction to Social Psychology,Complete all of: PSYC100A - Introductory Psychology I (1.5)PSYC100B - Introductory Psychology II (1.5)
PSYC,243,Introduction to Lifespan Development,Complete all of: PSYC100A - Introductory Psychology I (1.5)PSYC100B - Introductory Psychology II (1.5)
PSYC,251,Introduction to Mind and Brain,Complete all of the followingComplete all of: PSYC100A - Introductory Psychology I (1.5)Complete 1 of: PSYC100B - Introductory Psychology II (1.5)BIOL184 - Evolution and Biodiversity (1.5)BIOL186 - Physiology and Cell Biology (1.5)
PSYC,260,Introduction to Mental Health and Well-Being,Complete all of: PSYC100A - Introductory Psychology I (1.5)PSYC100B - Introductory Psychology II (1.5)
PSYC,300A,Statistical Methods in Psychology,Complete all of the followingComplete all of: PSYC201 - Research Methods in Psychology (1.5)Academic Writing Requirement satisfied.
PSYC,300B,Statistical Methods in Psychology II,Completed or concurrently enrolled in all of: PSYC300A - Statistical Methods in Psychology (1.5)
PSYC,317,Sensation and Perception,Complete all of: PSYC251 - Introduction to Mind and Brain (1.5)
PSYC,320,Evolutionary Psychology,Complete 1 of: PSYC231 - Introduction to Social Psychology (1.5)PSYC251 - Introduction to Mind and Brain (1.5)
PSYC,325,Environmental Psychology,Complete all of: PSYC100A - Introductory Psychology I (1.5)PSYC100B - Introductory Psychology II (1.5)
PSYC,330,Personality,Complete all of: PSYC201 - Research Methods in Psychology (1.5)PSYC260 - Introduction to Mental Health and Well-Being (1.5)
PSYC,332,Health Psychology,Complete 1 of: PSYC231 - Introduction to Social Psychology (1.5)PSYC251 - Introduction to Mind and Brain (1.5)PSYC260 - Introduction to Mental Health and Well-Being (1.5)
PSYC,333,Consumer Psychology,Complete 1 of: PSYC231 - Introduction to Social Psychology (1.5)PSYC251 - Introduction to Mind and Brain (1.5)
PSYC,334,Organizational Psychology,Complete all of: PSYC231 - Introduction to Social Psychology (1.5)
PSYC,335,Infant and Child Development,Complete all of: PSYC201 - Research Methods in Psychology (1.5)PSYC243 - Introduction to Lifespan Development (1.5)
PSYC,336,Adolescent Development,Complete all of: PSYC201 - Research Methods in Psychology (1.5)PSYC243 - Introduction to Lifespan Development (1.5)
PSYC,338,Behavioural Interventions with Children and Adults,Complete all of: PSYC201 - Research Methods in Psychology (1.5)PSYC260 - Introduction to Mental Health and Well-Being (1.5)
PSYC,339,Adult Development and Aging,Complete all of: PSYC201 - Research Methods in Psychology (1.5)PSYC243 - Introduction to Lifespan Development (1.5)
PSYC,341,Women and Psychology,Complete all of: PSYC100A - Introductory Psychology I (1.5)PSYC100B - Introductory Psychology II (1.5)
PSYC,345A,Drugs and Behaviour,Complete all of: PSYC251 - Introduction to Mind and Brain (1.5)
PSYC,351A,Cognitive Psychology,Complete all of: PSYC201 - Research Methods in Psychology (1.5)PSYC251 - Introduction to Mind and Brain (1.5)
PSYC,351B,Human Neuropsychology,Complete all of: PSYC201 - Research Methods in Psychology (1.5)PSYC251 - Introduction to Mind and Brain (1.5)
PSYC,351C,Cognitive Neuroscience,Complete all of: PSYC201 - Research Methods in Psychology (1.5)PSYC251 - Introduction to Mind and Brain (1.5)
PSYC,351D,Biopsychology,Complete all of: PSYC201 - Research Methods in Psychology (1.5)PSYC251 - Introduction to Mind and Brain (1.5)
PSYC,365,Fundamentals of Clinical Psychology,Complete all of: PSYC201 - Research Methods in Psychology (1.5)PSYC260 - Introduction to Mental Health and Well-Being (1.5)
PSYC,366,Psychological Disorders of Childhood and Adolescence,Complete all of: PSYC201 - Research Methods in Psychology (1.5)PSYC260 - Introduction to Mental Health and Well-Being (1.5)
PSYC,370A,Psycholinguistics,Complete all of: PSYC100A - Introductory Psychology I (1.5)PSYC100B - Introductory Psychology II (1.5)or permission of the department.
PSYC,370B,Child Language Acquisition,Complete all of: PSYC100A - Introductory Psychology I (1.5)PSYC100B - Introductory Psychology II (1.5)or permission of the department.
PSYC,370C,Topics in Psycholinguistics,
PSYC,370D,Neurolinguistics,
PSYC,375,Interpersonal Relationships,Complete all of: PSYC201 - Research Methods in Psychology (1.5)PSYC231 - Introduction to Social Psychology (1.5)
PSYC,376,Social Psychology of Sexuality,Complete all of: PSYC201 - Research Methods in Psychology (1.5)PSYC231 - Introduction to Social Psychology (1.5)
PSYC,385,"Motivation, Emotion, and Well-Being",Complete all of the followingComplete all of: PSYC201 - Research Methods in Psychology (1.5)Complete 1 of: PSYC231 - Introduction to Social Psychology (1.5)PSYC260 - Introduction to Mental Health and Well-Being (1.5)
PSYC,386,Cultural Psychology,Complete all of: PSYC201 - Research Methods in Psychology (1.5)PSYC231 - Introduction to Social Psychology (1.5)
PSYC,390,Independent Study in Psychology,Complete all of the followingComplete all of: PSYC201 - Research Methods in Psychology (1.5)minimum third-year standingpermission of the department.
PSYC,391,Special Topics in Psychology,Complete all of the followingComplete all of: PSYC201 - Research Methods in Psychology (1.5)additional prerequisites set by department depending upon topic.
PSYC,400A,Advanced Statistical Methods,Earn a minimum grade of A- in each of the following: PSYC300A - Statistical Methods in Psychology (1.5)PSYC300B - Statistical Methods in Psychology II (1.5)
