Department,Number,Description,coAndPrerequisites, year
MATH,100,Calculus I,Complete 1 of the followingEarn a minimum grade of C+ in each of the following: MATH120 - Precalculus Mathematics (1.5)Completed Pre-Calculus 12 or Principles of Mathematics 12  with a minimum grade of B (73%) or permission of the department.,1
PHYS,110,Introductory Physics I,Completed or concurrently enrolled in 1 of: MATH100 - Calculus I (1.5)MATH102 - Calculus for Students in the Social and Biological Sciences (1.5)MATH109 - Introduction to Calculus (1.5),1
ENGR,110,Design and Communication I,,1
ENGR,130,Introduction to Professional Practice,,1
CSC,111,Fundamentals of Programming with Engineering Applications,Complete 1 of the followingComplete 1 of the followingFoundations of Math 12Mathematics 12Pre-Calculus 12Complete 1 of: MATH100 - Calculus I (1.5)MATH109 - Introduction to Calculus (1.5)MATH120 - Precalculus Mathematics (1.5),1
MATH,110,Matrix Algebra for Engineers,Admission to BEng or BSENG program.,1
MATH,101,Calculus II,Complete 1 of: MATH100 - Calculus I (1.5)MATH109 - Introduction to Calculus (1.5)or permission of the department.,1
CSC,115,Fundamentals of Programming II,Complete 1 of: CSC110 - Fundamentals of Programming I (1.5)CSC111 - Fundamentals of Programming with Engineering Applications (1.5),1
ENGR,120,Design and Communication II,Complete all of the followingComplete 1 of the followingComplete 1 of: ENGR110 - Design and Communication I (2.5)ENGR111 - Design and Communication IB (2.5)Complete all of: ENGR112 - Design I (1.0)ENGL135 - Academic Reading and Writing (1.5)Complete all of: ELEC199 - Laboratory in Engineering Fundamentals (1.0)ENGL135 - Academic Reading and Writing (1.5)Complete 1 of the followingComplete all of: CSC110 - Fundamentals of Programming I (1.5)Completed or concurrently enrolled in all of: CSC111 - Fundamentals of Programming with Engineering Applications (1.5),1
ENGR,141,Engineering Mechanics,Complete all of the followingComplete 1 of: MATH100 - Calculus I (1.5)MATH109 - Introduction to Calculus (1.5)Completed or concurrently enrolled in 1 of: MATH110 - Matrix Algebra for Engineers (1.5)MATH211 - Matrix Algebra I (1.5),1
PHYS,111,Introductory Physics II,Complete all of: PHYS110 - Introductory Physics I (1.5),1
MATH,122,Logic and Foundations,Complete 1 of: MATH100 - Calculus I (1.5)MATH102 - Calculus for Students in the Social and Biological Sciences (1.5)MATH109 - Introduction to Calculus (1.5)MATH151 - Finite Mathematics (1.5)or permission of the department.,2
CHEM,101,Fundamentals of Chemistry from Atoms to Materials,,2
ECE,260,Continuous-Time Signals and Systems,Complete all of the followingComplete all of: MATH101 - Calculus II (1.5)Complete 1 of the followingComplete all of: MATH110 - Matrix Algebra for Engineers (1.5)Completed or concurrently enrolled in all of: MATH211 - Matrix Algebra I (1.5),2
STAT,260,Introduction to Probability and Statistics I,Completed or concurrently enrolled in 1 of: MATH101 - Calculus II (1.5)MATH208 - Mathematics for Economics and Econometrics (1.5),2
ECE,255,Introduction to Computer Architecture,Complete all of: CSC111 - Fundamentals of Programming with Engineering Applications (1.5),2
